
2022/06/29 11:50:48.703 PIGCSController:sendAndReceive error calling writeRead, output=SPA? 2 134217985 status=1, error=192.168.50.5:50000 timeout: Resource temporarily unavailable
2022/06/29 11:50:49.204 PIGCSController:sendAndReceive error calling writeRead, output=SPA? 2 134218240 status=1, error=192.168.50.5:50000 timeout: Resource temporarily unavailable
2022/06/29 11:50:49.704 PIGCSController:sendAndReceive error calling writeRead, output=SPA? 2 134218241 status=1, error=192.168.50.5:50000 timeout: Resource temporarily unavailable
2022/06/29 11:50:50.204 PIGCSController:sendAndReceive error calling writeRead, output=SPA? 2 134218496 status=1, error=192.168.50.5:50000 timeout: Resource temporarily unavailable
2022/06/29 11:50:50.705 PIGCSController:sendAndReceive error calling writeRead, output=SPA? 2 134218497 status=1, error=192.168.50.5:50000 timeout: Resource temporarily unavailable
2022/06/29 11:50:51.205 PIInterface::sendAndReceive error calling writeRead, output=5 status=1, error=192.168.50.5:50000 timeout: Resource temporarily unavailable
2022/06/29 11:50:51.706 PIGCSController:sendAndReceive error calling writeRead, output=POS? 3 status=1, error=192.168.50.5:50000 timeout: Resource temporarily unavailable
2022/06/29 11:50:52.207 PIGCSController:sendAndReceive error calling writeRead, output=POS? 3 status=1, error=192.168.50.5:50000 timeout: Resource temporarily unavailable
2022/06/29 11:50:52.707 PIGCSController:sendAndReceive error calling writeRead, output=VOL? 9 status=1, error=192.168.50.5:50000 timeout: Resource temporarily unavailable
2022/06/29 11:50:53.208 PIGCSController:sendAndReceive error calling writeRead, output=TAD? 8 status=1, error=192.168.50.5:50000 timeout: Resource temporarily unavailable
2022/06/29 11:50:53.708 PIGCSController:sendAndReceive error calling writeRead, output=TSP? 8 status=1, error=192.168.50.5:50000 timeout: Resource temporarily unavailable
2022/06/29 11:50:54.209 PIGCSController:sendAndReceive error calling writeRead, output=SPA? 8 83886082 status=1, error=192.168.50.5:50000 timeout: Resource temporarily unavailable
2022/06/29 11:50:54.709 PIGCSController:sendAndReceive error calling writeRead, output=SPA? 8 83886080 status=1, error=192.168.50.5:50000 timeout: Resource temporarily unavailable
2022/06/29 11:50:55.210 PIGCSController:sendAndReceive error calling writeRead, output=SPA? 8 83886081 status=1, error=192.168.50.5:50000 timeout: Resource temporarily unavailable
2022/06/29 11:50:55.710 PIGCSController:sendAndReceive error calling writeRead, output=SPA? 8 83886337 status=1, error=192.168.50.5:50000 timeout: Resource temporarily unavailable
2022/06/29 11:50:56.210 PIGCSController:sendAndReceive error calling writeRead, output=SPA? 8 83886338 status=1, error=192.168.50.5:50000 timeout: Resource temporarily unavailable
2022/06/29 11:50:56.711 PIGCSController:sendAndReceive error calling writeRead, output=SPA? 8 83886339 status=1, error=192.168.50.5:50000 timeout: Resource temporarily unavailable
2022/06/29 11:50:57.211 PIGCSController:sendAndReceive error calling writeRead, output=SPA? 8 83886340 status=1, error=192.168.50.5:50000 timeout: Resource temporarily unavailable
2022/06/29 11:50:57.711 PIGCSController:sendAndReceive error calling writeRead, output=SPA? 8 83886341 status=1, error=192.168.50.5:50000 timeout: Resource temporarily unavailable
2022/06/29 11:50:58.212 PIGCSController:sendAndReceive error calling writeRead, output=SPA? 3 117441280 status=1, error=192.168.50.5:50000 timeout: Resource temporarily unavailable
2022/06/29 11:50:58.713 PIGCSController:sendAndReceive error calling writeRead, output=SPA? 3 117441281 status=1, error=192.168.50.5:50000 timeout: Resource temporarily unavailable
2022/06/29 11:50:59.213 PIGCSController:sendAndReceive error calling writeRead, output=SPA? 3 117441282 status=1, error=192.168.50.5:50000 timeout: Resource temporarily unavailable
2022/06/29 11:50:59.713 PIGCSController:sendAndReceive error calling writeRead, output=SPA? 3 117441280 status=1, error=192.168.50.5:50000 timeout: Resource temporarily unavailable
2022/06/29 11:51:00.214 PIGCSController:sendAndReceive error calling writeRead, output=SPA? 3 117441024 status=1, error=192.168.50.5:50000 timeout: Resource temporarily unavailable
2022/06/29 11:51:00.714 PIGCSController:sendAndReceive error calling writeRead, output=SPA? 3 134217984 status=1, error=192.168.50.5:50000 timeout: Resource temporarily unavailable
2022/06/29 11:51:01.215 PIGCSController:sendAndReceive error calling writeRead, output=SPA? 3 134217985 status=1, error=192.168.50.5:50000 timeout: Resource temporarily unavailable
2022/06/29 11:51:01.715 PIGCSController:sendAndReceive error calling writeRead, output=SPA? 3 134218240 status=1, error=192.168.50.5:50000 timeout: Resource temporarily unavailable
2022/06/29 11:51:02.216 PIGCSController:sendAndReceive error calling writeRead, output=SPA? 3 134218241 status=1, error=192.168.50.5:50000 timeout: Resource temporarily unavailable
2022/06/29 11:51:02.716 PIGCSController:sendAndReceive error calling writeRead, output=SPA? 3 134218496 status=1, error=192.168.50.5:50000 timeout: Resource temporarily unavailable
2022/06/29 11:51:03.217 PIGCSController:sendAndReceive error calling writeRead, output=SPA? 3 134218497 status=1, error=192.168.50.5:50000 timeout: Resource temporarily unavailable
2022/06/29 11:51:03.717 PIGCSController:sendAndReceive error calling writeRead, output=#9 status=1, error=192.168.50.5:50000 timeout: Resource temporarily unavailable
2022/06/29 11:51:04.218 PIGCSController:sendAndReceive error calling writeRead, output=#9 status=1, error=192.168.50.5:50000 timeout: Resource temporarily unavailable
2022/06/29 11:51:04.718 PIGCSController:sendAndReceive error calling writeRead, output=#9 status=1, error=192.168.50.5:50000 timeout: Resource temporarily unavailable
2022/06/29 11:51:05.219 PIGCSController:sendAndReceive error calling writeRead, output=#9 status=1, error=192.168.50.5:50000 timeout: Resource temporarily unavailable
2022/06/29 11:51:05.719 PIGCSController:sendAndReceive error calling writeRead, output=WGC? 1 status=1, error=192.168.50.5:50000 timeout: Resource temporarily unavailable
2022/06/29 11:51:06.220 PIGCSController:sendAndReceive error calling writeRead, output=CTO? 1 3 status=1, error=192.168.50.5:50000 timeout: Resource temporarily unavailable
2022/06/29 11:51:06.720 PIGCSController:sendAndReceive error calling writeRead, output=CTO? 2 3 status=1, error=192.168.50.5:50000 timeout: Resource temporarily unavailable
2022/06/29 11:51:07.221 PIGCSController:sendAndReceive error calling writeRead, output=CTO? 3 3 status=1, error=192.168.50.5:50000 timeout: Resource temporarily unavailable
2022/06/29 11:51:07.721 PIGCSController:sendAndReceive error calling writeRead, output=CTO? 4 3 status=1, error=192.168.50.5:50000 timeout: Resource temporarily unavailable
2022/06/29 11:51:08.222 PIGCSController:sendAndReceive error calling writeRead, output=WTR? 1 status=1, error=192.168.50.5:50000 timeout: Resource temporarily unavailable
2022/06/29 11:51:08.722 PIGCSController:sendAndReceive error calling writeRead, output=WAV? 1 1 status=1, error=192.168.50.5:50000 timeout: Resource temporarily unavailable
2022/06/29 11:51:09.222 PIGCSController:sendAndReceive error calling writeRead, output=WAV? 2 1 status=1, error=192.168.50.5:50000 timeout: Resource temporarily unavailable
2022/06/29 11:51:09.518 PIGCSController:sendAndReceive error calling writeRead, output=WAV? 3 1 status=3, error=192.168.50.5:50000 read error: Connection reset by peer
2022/06/29 11:51:09.518 PIGCSController:sendAndReceive error calling write, output=WAV? 4 1 status=3, error=asynManager::queueLockPort queueRequest failed: port L100 not connected
2022/06/29 11:51:09.518 PIGCSController:sendAndReceive error calling write, output=DTL? 1 status=3, error=asynManager::queueLockPort queueRequest failed: port L100 not connected
2022/06/29 11:51:09.518 PIGCSController:sendAndReceive error calling write, output=DTL? 2 status=3, error=asynManager::queueLockPort queueRequest failed: port L100 not connected
2022/06/29 11:51:09.518 PIGCSController:sendAndReceive error calling write, output=DTL? 3 status=3, error=asynManager::queueLockPort queueRequest failed: port L100 not connected
2022/06/29 11:51:09.518 PIGCSController:sendAndReceive error calling write, output=DTL? 4 status=3, error=asynManager::queueLockPort queueRequest failed: port L100 not connected
2022/06/29 11:51:09.518 PIGCSController:sendAndReceive error calling write, output=DRL? 1 status=3, error=asynManager::queueLockPort queueRequest failed: port L100 not connected
2022/06/29 11:51:09.518 PIInterface::sendAndReceive error calling writeRead, output=5 status=3, error=asynManager::queueLockPort queueRequest failed: port L100 not connected
2022/06/29 11:51:09.518 PIGCSController:sendAndReceive error calling write, output=POS? 1 status=3, error=asynManager::queueLockPort queueRequest failed: port L100 not connected
2022/06/29 11:51:09.518 PIGCSController:sendAndReceive error calling write, output=POS? 1 status=3, error=asynManager::queueLockPort queueRequest failed: port L100 not connected
2022/06/29 11:51:09.518 PIGCSController:sendAndReceive error calling write, output=VOL? 5 status=3, error=asynManager::queueLockPort queueRequest failed: port L100 not connected
2022/06/29 11:51:09.518 PIGCSController:sendAndReceive error calling write, output=TAD? 5 status=3, error=asynManager::queueLockPort queueRequest failed: port L100 not connected
2022/06/29 11:51:09.518 PIGCSController:sendAndReceive error calling write, output=TSP? 5 status=3, error=asynManager::queueLockPort queueRequest failed: port L100 not connected
2022/06/29 11:51:09.518 PIGCSController:sendAndReceive error calling write, output=SPA? 5 83886082 status=3, error=asynManager::queueLockPort queueRequest failed: port L100 not connected
2022/06/29 11:51:09.518 PIGCSController:sendAndReceive error calling write, output=SPA? 5 83886080 status=3, error=asynManager::queueLockPort queueRequest failed: port L100 not connected
2022/06/29 11:51:09.518 PIGCSController:sendAndReceive error calling write, output=SPA? 5 83886081 status=3, error=asynManager::queueLockPort queueRequest failed: port L100 not connected
2022/06/29 11:51:09.518 PIGCSController:sendAndReceive error calling write, output=SPA? 5 83886337 status=3, error=asynManager::queueLockPort queueRequest failed: port L100 not connected
2022/06/29 11:51:09.518 PIGCSController:sendAndReceive error calling write, output=SPA? 5 83886338 status=3, error=asynManager::queueLockPort queueRequest failed: port L100 not connected
2022/06/29 11:51:09.518 PIGCSController:sendAndReceive error calling write, output=SPA? 5 83886339 status=3, error=asynManager::queueLockPort queueRequest failed: port L100 not connected
2022/06/29 11:51:09.518 PIGCSController:sendAndReceive error calling write, output=SPA? 5 83886340 status=3, error=asynManager::queueLockPort queueRequest failed: port L100 not connected
2022/06/29 11:51:09.518 PIGCSController:sendAndReceive error calling write, output=SPA? 5 83886341 status=3, error=asynManager::queueLockPort queueRequest failed: port L100 not connected
2022/06/29 11:51:09.518 PIGCSController:sendAndReceive error calling write, output=SPA? 1 117441280 status=3, error=asynManager::queueLockPort queueRequest failed: port L100 not connected
2022/06/29 11:51:09.518 PIGCSController:sendAndReceive error calling write, output=SPA? 1 117441281 status=3, error=asynManager::queueLockPort queueRequest failed: port L100 not connected
2022/06/29 11:51:09.518 PIGCSController:sendAndReceive error calling write, output=SPA? 1 117441282 status=3, error=asynManager::queueLockPort queueRequest failed: port L100 not connected
2022/06/29 11:51:09.518 PIGCSController:sendAndReceive error calling write, output=SPA? 1 117441280 status=3, error=asynManager::queueLockPort queueRequest failed: port L100 not connected
2022/06/29 11:51:09.518 PIGCSController:sendAndReceive error calling write, output=SPA? 1 117441024 status=3, error=asynManager::queueLockPort queueRequest failed: port L100 not connected
